id_user,username,password_plaintext,role
1,panji01,panji01123,siswa
2,hendra02,hendra02123,siswa
3,budi03,budi03123,siswa
4,wulan04,wulan04123,siswa
5,sari05,sari05123,siswa
6,putri06,putri06123,siswa
7,oki07,oki07123,siswa
8,indah08,indah08123,siswa
9,wulan09,wulan09123,siswa
10,gita10,gita10123,siswa
11,siti11,siti11123,siswa
12,wulan12,wulan12123,siswa
13,jihan13,jihan13123,siswa
14,fajar14,fajar14123,siswa
15,mega15,mega15123,siswa
16,cahyo16,cahyo16123,siswa
17,citra17,citra17123,siswa
18,budi18,budi18123,siswa
19,fajar19,fajar19123,siswa
20,nanda20,nanda20123,siswa
21,oki21,oki21123,siswa
22,hana22,hana22123,siswa
23,novi23,novi23123,siswa
24,budi24,budi24123,siswa
25,krisna25,krisna25123,siswa
26,made26,made26123,siswa
27,ummu27,ummu27123,siswa
28,qori28,qori28123,siswa
29,taufik29,taufik29123,siswa
30,jihan30,jihan30123,siswa
31,bayu31,bayu31123,siswa
32,oki32,oki32123,siswa
33,dian33,dian33123,siswa
34,mega34,mega34123,siswa
35,sari35,sari35123,siswa
36,ahmad36,ahmad36123,siswa
37,yoga37,yoga37123,siswa
38,kurnia38,kurnia38123,siswa
39,taufik39,taufik39123,siswa
40,cahyo40,cahyo40123,siswa
41,admin01,admin01123,admin
42,admin02,admin02123,admin
43,admin03,admin03123,admin
44,admin04,admin04123,admin
45,admin05,admin05123,admin
46,admin06,admin06123,admin
47,admin07,admin07123,admin
48,admin08,admin08123,admin
49,admin09,admin09123,admin
50,admin10,admin10123,admin
